image_path,description,x,y,feature
img/IMG_3120 Medium.png,will,"397, 430, 430, 397","134, 134, 170, 170",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,I,"98, 115, 110, 93","108, 109, 168, 167",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,don't,"128, 177, 172, 123","110, 114, 174, 170",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,know,"194, 248, 243, 189","116, 120, 179, 175",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,if,"274, 296, 291, 269","123, 125, 184, 182",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,be,"39, 70, 68, 37","178, 180, 222, 221",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,albe,"110, 167, 165, 108","181, 184, 228, 225",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,to,"205, 220, 218, 203","186, 187, 231, 230",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,read,"240, 283, 281, 238","188, 190, 233, 231",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,...,"304, 341, 339, 302","189, 191, 234, 232",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,chicken,"364, 440, 438, 362","196, 201, 237, 232",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,scratch,"23, 127, 125, 21","220, 224, 283, 279",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,hand,"153, 215, 213, 151","225, 228, 286, 284",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,writing,"244, 309, 307, 242","229, 232, 291, 288",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,14,"325, 356, 354, 323","233, 234, 292, 291",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,I,"395, 411, 409, 393","236, 237, 295, 294",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,love,"421, 470, 468, 419","236, 238, 297, 295",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,to,"30, 50, 49, 29","268, 269, 303, 302",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,been,"56, 105, 104, 55","268, 269, 304, 303",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,written,"123, 187, 186, 122","270, 272, 307, 305",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,some,"212, 257, 256, 211","272, 273, 308, 307",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,error,"285, 336, 335, 284","274, 275, 310, 309",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,.,"339, 348, 347, 338","276, 276, 310, 310",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,Well,"354, 398, 397, 353","276, 277, 312, 311",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,that,"426, 463, 462, 425","278, 279, 314, 313",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,is,"1, 32, 34, 3","326, 325, 383, 384",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,pobalby,"54, 165, 167, 56","324, 319, 377, 382",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,enough,"181, 256, 258, 184","318, 315, 374, 377",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,for,"293, 318, 320, 295","314, 313, 371, 372",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,a,"331, 347, 349, 333","312, 311, 369, 370",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,demonstrating,"358, 470, 472, 361","310, 305, 364, 369",DOCUMENT_TEXT_DETECTION
img/IMG_3120 Medium.png,.,"473, 483, 485, 475","306, 306, 364, 364",DOCUMENT_TEXT_DETECTION
